Gene.ID	Transcript
A1BG	NM_130786.3
A1BG-AS1	NR_015380.1
A1CF	NM_014576.3
A2M	NM_000014.4
A2M-AS1	NR_026971.1
A2MP1	NR_040112.1
AAAS	NM_001173466.1
AACS	NM_023928.3
AACSP1	NR_024035.1
AADAC	NM_001086.2
AADACL4	NM_001013630.1
AADAT	NM_016228.3
AAED1	NM_153698.1
AAGAB	NM_024666.3
AAMDC	NM_024684.2
AAMP	NM_001087.3
AANAT	NM_001088.2
AARS	NM_001605.2
AARSD1	NM_001261434.1
AASDHPPT	NM_015423.2
AASS	NM_005763.3
AATF	NM_012138.3
AATK	NM_004920.2
AATK-AS1	NR_027255.1
ABAT	NM_020686.5
ABCA11P	NR_002451.2
ABCA12	NM_173076.2
ABCA17P	NR_003574.1
ABCA4	NM_000350.2
ABCA5	NM_018672.3
ABCA7	NM_019112.3
ABCA9	NM_080283.3
ABCB10	NM_012089.2
ABCB4	NM_000443.3
ABCB5	NM_178559.5
ABCB6	NM_005689.2
ABCB7	NM_004299.3
ABCB9	NM_019624.3
ABCC10	NM_033450.2
ABCC12	NM_033226.2
ABCC13	NR_003087.1
ABCC4	NM_005845.3
ABCC5	NM_005688.2
ABCC5-AS1	NR_046570.1
ABCC6	NM_001079528.3
ABCC6P1	NR_003569.1
ABCC6P2	NR_023387.1
ABCC8	NM_000352.3
ABCD1	NM_000033.3
ABCE1	NM_002940.2
ABCF1	NM_001025091.1
ABCF2	NM_005692.3
ABCG1	NM_207174.1
ABCG2	NM_004827.2
ABCG4	NM_022169.4
ABCG5	NM_022436.2
ABCG8	NM_022437.2
ABHD1	NM_032604.3
ABHD11	NR_026910.1
ABHD11-AS1	NR_026690.1
ABHD12	NM_015600.4
ABHD12B	NM_001206673.1
ABHD14A	NM_015407.4
ABHD14A-ACY1	NR_037192.1
ABHD14B	NM_032750.2
ABHD15	NM_198147.2
ABHD16A	NM_001177515.1
ABHD16B	NM_080622.3
ABHD2	NM_007011.7
ABHD3	NM_138340.4
ABHD4	NM_022060.2
ABHD5	NM_016006.4
ABHD6	NM_020676.5
ABHD8	NM_024527.4
ABI1	NM_005470.3
