HGNC ID	Approved Symbol	Approved Name	Locus Type	Locus Group	Chromosome	Entrez Gene ID	RefSeq IDs	OMIM ID(supplied by OMIM)	RefSeq(supplied by NCBI)
HGNC:5	A1BG	alpha-1-B glycoprotein	gene with protein product	protein-coding gene	19q13.43	1	NM_130786	138670	NM_130786
HGNC:5	A1BG	alpha-1-B glycoprotein	gene with protein product	protein-coding gene	19q13.43	1	NM_130786	138670	NM_130786
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	RNA, long non-coding	non-coding RNA	19q13.43	503538	NR_015380		NR_015380
HGNC:24086	A1CF	APOBEC1 complementation factor	gene with protein product	protein-coding gene	10q21.1	29974	NM_014576		NM_014576
HGNC:24086	A1CF	APOBEC1 complementation factor	gene with protein product	protein-coding gene	10q21.1	29974	NM_014576		NM_014576
HGNC:7	A2M	alpha-2-macroglobulin	gene with protein product	protein-coding gene	12p13.31	2	NM_000014	103950	NM_000014
HGNC:7	A2M	alpha-2-macroglobulin	gene with protein product	protein-coding gene	12p13.31	2	NM_000014	103950	NM_000014
HGNC:27057	A2M-AS1	A2M antisense RNA 1 (head to head)	RNA, long non-coding	non-coding RNA	12p13.31	144571	NR_026971		NR_026971
HGNC:23336	A2ML1	alpha-2-macroglobulin-like 1	gene with protein product	protein-coding gene	12p13	144568	NM_144670	610627	XM_011520566
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	pseudogene	pseudogene	12p13.31	3	NG_001067		NR_040112
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	gene with protein product	protein-coding gene	1p35.1	127550	NM_001080438		NM_001080438
HGNC:13666	AAAS	achalasia, adrenocortical insufficiency, alacrimia	gene with protein product	protein-coding gene	12q13	8086		605378	NM_015665
HGNC:21298	AACS	acetoacetyl-CoA synthetase	gene with protein product	protein-coding gene	12q24.31	65985	NM_023928	614364	NM_023928
HGNC:21298	AACS	acetoacetyl-CoA synthetase	gene with protein product	protein-coding gene	12q24.31	65985	NM_023928	614364	NM_023928
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	pseudogene	pseudogene	5q35	729522	NR_024035		NR_024035
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	pseudogene	pseudogene	5q35	729522	NR_024035		NR_024035
HGNC:17	AADAC	arylacetamide deacetylase	gene with protein product	protein-coding gene	3q25.1	13	NM_001086	600338	NM_001086
HGNC:17	AADAC	arylacetamide deacetylase	gene with protein product	protein-coding gene	3q25.1	13	NM_001086	600338	NM_001086
HGNC:24427	AADACL2	arylacetamide deacetylase-like 2	gene with protein product	protein-coding gene	3q25.1	344752	NM_207365		NM_207365
HGNC:32038	AADACL4	arylacetamide deacetylase-like 4	gene with protein product	protein-coding gene	1p36.21	343066	NM_001013630		NM_001013630
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1	pseudogene	pseudogene	3q25.1	201651			NR_026915
HGNC:17929	AADAT	aminoadipate aminotransferase	gene with protein product	protein-coding gene	4q33	51166	NM_016228	611754	NM_182662
HGNC:16881	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	gene with protein product	protein-coding gene	9q22.32	195827	NM_153698		NM_153698
HGNC:16881	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	gene with protein product	protein-coding gene	9q22.32	195827	NM_153698		NM_153698
HGNC:25662	AAGAB	alpha- and gamma-adaptin binding protein	gene with protein product	protein-coding gene	15q23	79719	NM_024666	614888	NM_024666
HGNC:25662	AAGAB	alpha- and gamma-adaptin binding protein	gene with protein product	protein-coding gene	15q23	79719	NM_024666	614888	NM_024666
HGNC:19679	AAK1	AP2 associated kinase 1	gene with protein product	protein-coding gene	2p13.3	22848	NM_014911	616405	NM_014911
HGNC:30205	AAMDC	adipogenesis associated, Mth938 domain containing	gene with protein product	protein-coding gene	11q14.1	28971	NM_024684		NM_024684
HGNC:18	AAMP	angio-associated, migratory cell protein	gene with protein product	protein-coding gene	2q	14	NM_001087	603488	NM_001302545
HGNC:18	AAMP	angio-associated, migratory cell protein	gene with protein product	protein-coding gene	2q	14	NM_001087	603488	NM_001302545
HGNC:19	AANAT	aralkylamine N-acetyltransferase	gene with protein product	protein-coding gene	17q25.1	15	NM_001088	600950	NM_001088
HGNC:19	AANAT	aralkylamine N-acetyltransferase	gene with protein product	protein-coding gene	17q25.1	15	NM_001088	600950	NM_001088
HGNC:15886	AAR2	AAR2 splicing factor homolog	gene with protein product	protein-coding gene	20q11.23	25980	NM_015511		NM_015511
HGNC:20	AARS	alanyl-tRNA synthetase	gene with protein product	protein-coding gene	16q22.1	16	NM_001605	601065	NM_001605
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	gene with protein product	protein-coding gene	6p21.1	57505	NM_020745	612035	NM_020745
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	gene with protein product	protein-coding gene	17q21.31	80755	NM_001261434	613212	NM_001261434
HGNC:49894	AARSP1	alanyl-tRNA synthetase pseudogene 1	pseudogene	pseudogene	4q28.3				NG_043271
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	gene with protein product	protein-coding gene	11q22	60496	NM_015423	607756	NM_015423
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	gene with protein product	protein-coding gene	7q31.3	10157	NM_005763	605113	NM_005763
