### LOVD-version 3000-020 ### Full data download ### To import, do not remove or alter this header ###
# charset = UTF-8

## Genes ## Do not remove or alter this header ##
{{id}}	{{name}}	{{chromosome}}	{{chrom_band}}	{{refseq_genomic}}	{{refseq_UD}}	{{id_hgnc}}	{{id_entrez}}	{{id_omim}}
"A1BG"	"alpha-1-B glycoprotein"	"19"	"q13.43"	"NC_000019.9"	"UD_144439223094"	"5"	"1"	"138670"
"A1CF"	"APOBEC1 complementation factor"	"10"	"q21.1"	"NG_029916.1"	"UD_144439223660"	"24086"	"29974"	""
"A2M"	"alpha-2-macroglobulin"	"12"	"p13.31"	"NG_011717.1"	"UD_144439223925"	"7"	"2"	"103950"
"A2M-AS1"	"A2M antisense RNA 1 (head to head)"	"12"	"p13.31"	"NC_000012.11"	"UD_144439224103"	"27057"	"144571"	""
"A2MP1"	"alpha-2-macroglobulin pseudogene 1"	"12"	"p13.31"	"NC_000012.11"	"UD_144439224546"	"8"	"3"	""
"AAAS"	"achalasia, adrenocortical insufficiency, alacrimia"	"12"	"q13"	"NG_016775.1"	"UD_144439225052"	"13666"	"8086"	"605378"
"AACS"	"acetoacetyl-CoA synthetase"	"12"	"q24.31"	"NC_000012.11"	"UD_144439225200"	"21298"	"65985"	"614364"
"AACSP1"	"acetoacetyl-CoA synthetase pseudogene 1"	"5"	"q35"	"NC_000005.9"	"UD_144439225391"	"18226"	"729522"	""
"AADAC"	"arylacetamide deacetylase"	"3"	"q25.1"	"NC_000003.11"	"UD_144439225745"	"17"	"13"	"600338"
"AADACL4"	"arylacetamide deacetylase-like 4"	"1"	"p36.21"	"NC_000001.10"	"UD_144439226219"	"32038"	"343066"	""
"AADAT"	"aminoadipate aminotransferase"	"4"	"q33"	"NC_000004.11"	"UD_144439226443"	"17929"	"51166"	"611754"
"AAED1"	"AhpC/TSA antioxidant enzyme domain containing 1"	"9"	"q22.32"	"NC_000009.11"	"UD_144439226800"	"16881"	"195827"	""
"AAMDC"	"adipogenesis associated, Mth938 domain containing"	"11"	"q14.1"	"NC_000011.9"	"UD_144439228317"	"30205"	"28971"	""
"AAMP"	"angio-associated, migratory cell protein"	"2"	"q"	"NG_033036.1"	"UD_144439228556"	"18"	"14"	"603488"
"AANAT"	"aralkylamine N-acetyltransferase"	"17"	"q25.1"	"NG_015976.1"	"UD_144439228900"	"19"	"15"	"600950"
"AARS"	"alanyl-tRNA synthetase"	"16"	"q22.1"	"LRG_359"	"UD_144439229718"	"20"	"16"	"601065"
"AARSD1"	"alanyl-tRNA synthetase domain containing 1"	"17"	"q21.31"	"NC_000017.10"	"UD_144439230210"	"28417"	"80755"	"613212"
"AASDHPPT"	"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	"11"	"q22"	"NC_000011.9"	"UD_144439230383"	"14235"	"60496"	"607756"
"AASS"	"aminoadipate-semialdehyde synthase"	"7"	"q31.3"	"NG_008140.2"	"UD_144439230621"	"17366"	"10157"	"605113"
"AATF"	"apoptosis antagonizing transcription factor"	"17"	"q12"	"NC_000017.10"	"UD_144439231008"	"19235"	"26574"	"608463"
"AATK"	"apoptosis-associated tyrosine kinase"	"17"	"q25.3"	"NG_029981.1"	"UD_144439231252"	"21"	"9625"	"605276"
"AATK-AS1"	"AATK antisense RNA 1"	"17"	"q25.3"	"NC_000017.10"	"UD_144439232366"	"40053"	"388428"	""
"ABAT"	"4-aminobutyrate aminotransferase"	"16"	"p13.2"	"NG_008432.1"	"UD_144439232606"	"23"	"18"	"137150"
"ABCA4"	"ATP-binding cassette, sub-family A (ABC1), member 4"	"1"	"p22"	"NG_009073.1"	"UD_144439235537"	"34"	"24"	"601691"
"ABCA5"	"ATP-binding cassette, sub-family A (ABC1), member 5"	"17"	"q24.3"	"NG_034199.1"	"UD_144439235811"	"35"	"23461"	"612503"
